Drug,Number_of_Genes,Target_Genes,Sources
MMP13 TRACER  [18F]5J,1,MMP13,GuideToPharmacology
MK-0893,1,ADCYAP1R1,GuideToPharmacology
MIRTAZAPINE,1,LEP,NCI
NICERGOLINE,1,ADRA1A,TEND
NIGULDIPINE,1,ADRA1A,GuideToPharmacology
PENTOXIFYLLINE,1,GFAP,NCI
NPY-(3-36) (PIG),1,NPY2R,GuideToPharmacology
PENTOSAN POLYSULPHATE SODIUM,1,MMP1,NCI
PENTAFLUORO-TRITYL CLOTRIMAZOLE ANALOGUE 29A,1,TRPM3,GuideToPharmacology
PAREGORIC,1,CCL11,PharmGKB
PACAP-38,1,ADCYAP1R1,GuideToPharmacology
PACAP-27,1,ADCYAP1R1,GuideToPharmacology
OXYMETAZOLINE HYDROCHLORIDE,1,ADRA1A,"ChEMBL, TEND"
ORAL CONTRACEPTIVE,1,LEP,NCI
OLANZAPINE,1,ADRA1A,TdgClinicalTrial
OCRIPLASMIN,1,COL11A1,ChEMBL
OBINEPITIDE,1,NPY2R,"TTD, TdgClinicalTrial"
NS-49,1,ADRA1A,GuideToPharmacology
NPY-(26-36) (PIG),1,NPY2R,GuideToPharmacology
NIMODIPINE,1,GFAP,NCI
NPY-(22-36) (PIG),1,NPY2R,GuideToPharmacology
NPY-(20-36) (PIG),1,NPY2R,GuideToPharmacology
NPY-(2-36) (PIG),1,NPY2R,GuideToPharmacology
NPY-(2-36),1,NPY2R,GuideToPharmacology
NPY-(16-36) (PIG),1,NPY2R,GuideToPharmacology
NPY-(13-36) (PIG),1,NPY2R,GuideToPharmacology
NPY,1,NPY2R,GuideToPharmacology
NORTRIPTYLINE,1,ADRA1A,GuideToPharmacology
NOREPINEPHRINE BITARTRATE,1,ADRA1A,ChEMBL
NOREPINEPHRINE,1,ADRA1A,TEND
NN-DIMETHYL-D-ERYTHROSPHINGOSINE,1,TRPM3,GuideToPharmacology
PARDOPRUNOX,1,ADRA1A,TdgClinicalTrial
RAUWOLFIA SERPENTINA (USP),1,ADRA1A,ChEMBL
PROTEIN C CONCENTRATE (HUMAN),1,PROC,ChEMBL
VALPROIC ACID,1,LEP,NCI
VU0400195,1,GRM4,GuideToPharmacology
VU0364770,1,GRM4,DTC
VU0361737,1,GRM4,GuideToPharmacology
VU0359516,1,GRM4,GuideToPharmacology
VU0155041,1,GRM4,GuideToPharmacology
VU0092145,1,GRM4,GuideToPharmacology
VU0080241,1,GRM4,GuideToPharmacology
VU0001171,1,GRM4,GuideToPharmacology
VITAMIN K3,1,PROC,TEND
VIP,1,ADCYAP1R1,GuideToPharmacology
VERINURAD,1,SLC22A12,"ChEMBL, GuideToPharmacology"
UROFOLLITROPIN,1,LHCGR,ChEMBL
WARFARIN,1,PROC,FDA
UPIDOSIN,1,ADRA1A,GuideToPharmacology
TRIMIPRAMINE MALEATE,1,ADRA1A,ChEMBL
TRIFLUOPERAZINE HYDROCHLORIDE,1,APOB,NCI
TRIFLUOPERAZINE,1,ADRA1A,TEND
TRICHLORMETHIAZIDE,1,CA4,TEND
TRIAMCINOLONE,1,MMP1,NCI
TRETINOIN,1,ADH1C,NCI
TRAZODONE,1,ADRA1A,TEND
TP0556351,1,MMP13,GuideToPharmacology
TOPIRAMATE,1,CA4,TEND
TOLAZOLINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
VU2957,1,GRM4,GuideToPharmacology
WAY170523,1,MMP13,GuideToPharmacology
THIORIDAZINE,1,ADRA1A,TEND
[125I]PYY-(3-36) (HUMAN),1,NPY2R,GuideToPharmacology
"[LYS15,ARG16,LEU27]VIP-(1-7)/GRF-(8-27)-NH2",1,ADCYAP1R1,GuideToPharmacology
"[LEU31,PRO34]PYY (HUMAN)",1,NPY2R,GuideToPharmacology
"[LEU31,PRO34]NPY (PIG)",1,NPY2R,GuideToPharmacology
"[LEU31,PRO34]NPY",1,NPY2R,GuideToPharmacology
[D-TRP32]NPY,1,NPY2R,GuideToPharmacology
[ARG16]CHICKEN SECRETIN,1,ADCYAP1R1,GuideToPharmacology
"[ALA31,AIB32]NPY (PIG)",1,NPY2R,GuideToPharmacology
"[ALA11,22,28]VIP",1,ADCYAP1R1,GuideToPharmacology
[18F]FMBP,1,MMP13,GuideToPharmacology
[125I][AC-HIS1]PACAP-27,1,ADCYAP1R1,GuideToPharmacology
"[125I]VIP (HUMAN, MOUSE, RAT)",1,ADCYAP1R1,GuideToPharmacology
[125I]PYY,1,NPY2R,GuideToPharmacology
WB 4101,1,ADRA1A,GuideToPharmacology
[125I]PACAP-27,1,ADCYAP1R1,GuideToPharmacology
"[125I]NPY (HUMAN, MOUSE, RAT)",1,NPY2R,GuideToPharmacology
[125I]LH,1,LHCGR,GuideToPharmacology
[125I]HEAT (BE2254),1,ADRA1A,GuideToPharmacology
[125I]CHORIONIC GONADOTROPIN (HUMAN),1,LHCGR,GuideToPharmacology
ZOLEDRONIC ACID ANHYDROUS,1,IBSP,NCI
ZIPRASIDONE,1,ADRA1A,TEND
ZD7288,1,HCN2,GuideToPharmacology
ZATEBRADINE,1,HCN2,GuideToPharmacology
XYLOMETAZOLINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
WITHAFERIN A,1,CDC25C,DTC
TOLAZOLINE,1,ADRA1A,TEND
THERAPEUTIC MELATONIN,1,GFAP,NCI
PROTHROMBIN COMPLEX CONCENTRATE,1,PROC,ChEMBL
RITANSERIN,1,ADRA1A,GuideToPharmacology
SALVIANOLIC ACID A,1,CA4,GuideToPharmacology
SACITUZUMAB GOVITECAN,1,MMP1,CIViC
RY796,1,KCNB1,GuideToPharmacology
RY785,1,KCNB1,GuideToPharmacology
RS-17053,1,ADRA1A,GuideToPharmacology
RS-100329,1,ADRA1A,GuideToPharmacology
ROXITHROMYCIN,1,CCL11,NCI
ROXINDOLE,1,ADRA1A,GuideToPharmacology
ROSIGLITAZONE,1,TRPM3,GuideToPharmacology
RO-70-0004,1,ADRA1A,GuideToPharmacology
RO 25-1553,1,ADCYAP1R1,GuideToPharmacology
RIBAVIRIN,1,MMP1,NCI
SERTINDOLE,1,ADRA1A,TEND
REVERSE TRANSCRIPTASE INHIBITOR,1,APOB,NCI
RELUGOLIX,1,LHCGR,TTD
RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1,1,ADCYAP1R1,NCI
RECOMBINANT LUTEINIZING HORMONE,1,GFAP,NCI
RECOMBINANT INTERLEUKIN-6,1,ADCYAP1R1,NCI
RECOMBINANT HEREGULIN,1,GFAP,NCI
MIDODRINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
RAUWOLFIA SERPENTINA,1,ADRA1A,ChEMBL
PYY-(3-36),1,NPY2R,GuideToPharmacology
"PYY-(13-36) (MOUSE, RAT, PIG)",1,NPY2R,GuideToPharmacology
PSEUDOEPHEDRINE POLISTIREX,1,ADRA1A,TEND
SENREBOTASE,1,ADRA1A,TdgClinicalTrial
SF-11 [PMID: 31267743],1,NPY2R,GuideToPharmacology
THERAPEUTIC HORMONE,1,TDO2,NCI
