Gene,Drug,Interaction,Source,Log2FC,Adjusted_P,Significance,Expression_Direction
TRPM3,ISOSAKURANETIN,blocker,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,NN-DIMETHYL-D-ERYTHROSPHINGOSINE,activator,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,SPHINGOSINE,activator,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,DIHYDROSPHINGOSINE,activator,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,PENTAFLUORO-TRITYL CLOTRIMAZOLE ANALOGUE 29A,activator,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,NARINGENIN,blocker,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
TRPM3,CIM0216,activator,GuideToPharmacology,-1.3070444237985688,3.672906687024267e-60,Downregulated,Downregulated
IBSP,CYCLOSPORINE,unknown,NCI,2.063067522135896,5.548152446135917e-60,Upregulated,Upregulated
IBSP,TNF-ALPHA,unknown,NCI,2.063067522135896,5.548152446135917e-60,Upregulated,Upregulated
IBSP,ZOLEDRONIC ACID ANHYDROUS,unknown,NCI,2.063067522135896,5.548152446135917e-60,Upregulated,Upregulated
IBSP,DAIDZEIN,unknown,NCI,2.063067522135896,5.548152446135917e-60,Upregulated,Upregulated
IBSP,"INSULIN, REGULAR, HUMAN",unknown,NCI,2.063067522135896,5.548152446135917e-60,Upregulated,Upregulated
ADH1C,CISPLATIN,unknown,PharmGKB,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
ADH1C,NITREFAZOLE,inhibitor,ChEMBL,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
ADH1C,TRETINOIN,unknown,NCI,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
ADH1C,CYCLOPHOSPHAMIDE ANHYDROUS,unknown,PharmGKB,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
ADH1C,FOMEPIZOLE,inhibitor,TEND,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
ADH1C,NALTREXONE,unknown,PharmGKB,-1.1149984264603106,2.6005160433809804e-59,Downregulated,Downregulated
CDC25C,FLUOROURACIL,unknown,NCI,1.0292018003954126,2.6527859168196556e-59,Upregulated,Upregulated
CDC25C,CISPLATIN,unknown,NCI,1.0292018003954126,2.6527859168196556e-59,Upregulated,Upregulated
CDC25C,WITHAFERIN A,unknown,DTC,1.0292018003954126,2.6527859168196556e-59,Upregulated,Upregulated
CDC25C,QUERCETIN,unknown,NCI,1.0292018003954126,2.6527859168196556e-59,Upregulated,Upregulated
HSD17B13,BI-3231,inhibitor,GuideToPharmacology,-1.448790276770381,6.125069225739309e-59,Downregulated,Downregulated
DPP6,HALOPERIDOL DECANOATE,unknown,PharmGKB,-1.3600868284310568,8.182821239338755e-59,Downregulated,Downregulated
DPP6,DEHYDRATED ALCOHOL,unknown,PharmGKB,-1.3600868284310568,8.182821239338755e-59,Downregulated,Downregulated
ADRA1A,DISULFIRAM,unknown,PharmGKB,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,MEDETOMIDINE,unknown,TTD,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PERICIAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,OXYMETAZOLINE HYDROCHLORIDE,agonist,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,RITANSERIN,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,"ERGOLOID MESYLATES, USP",unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENYLEPHRINE HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,EPINEPHRINE BITARTRATE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DABUZALGRON,agonist,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENDIMETRAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,ALFUZOSIN HYDROCHLORIDE,agonist,TTD,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,TERAZOSIN,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,METHOTRIMEPRAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,BUNAZOSIN,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,LABETALOL,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,ZIPRASIDONE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DEBRISOQUIN,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,HEAT (BE2254),inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DRONEDARONE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DAPIPRAZOLE HYDROCHLORIDE,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,NAN 190,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,SILODOSIN,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,BENZPHETAMINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,5-METHYLURAPIDIL,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,ERGOTAMINE TARTRATE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PIRIBEDIL,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,TAMSULOSIN HYDROCHLORIDE,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENYLEPHRINE BITARTRATE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENYLEPHRINE,agonist,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,METARAMINOL,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,TAMSULOSIN HYDROCHLORIDE,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,MIDODRINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
