Gene,Drug,Interaction,Source
GRM4,LSP4-2022,agonist,GuideToPharmacology
GRM4,CHEMBL:CHEMBL541754,Unknown,DTC
GRM4,CHEMBL:CHEMBL572346,Unknown,DTC
GRM4,COMPOUND 22A [PMID: 21688779],modulator,GuideToPharmacology
GRM4,"(S)-3,4-DCPG",agonist,GuideToPharmacology
GRM4,VU2957,modulator,GuideToPharmacology
GRM4,LU AF21934,modulator,GuideToPharmacology
GRM4,SIB-1893,modulator,GuideToPharmacology
GRM4,CHEMBL:CHEMBL571453,Unknown,DTC
GRM4,LY341495,inhibitor,GuideToPharmacology
MMP1,COBALT,Unknown,NCI
MMP1,DOXYCYCLINE HYCLATE,inhibitor,ChEMBL
MMP1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,Unknown,TdgClinicalTrial
MMP1,TRIAMCINOLONE,Unknown,NCI
MMP1,CGS-27023A,inhibitor,GuideToPharmacology
MMP1,MEDROXYPROGESTERONE ACETATE,Unknown,NCI
MMP1,LEFLUNOMIDE,Unknown,NCI
MMP1,HYDROCORTISONE BUTYRATE,Unknown,NCI
MMP1,SACITUZUMAB GOVITECAN,Unknown,CIViC
MMP1,DOXYCYCLINE MONOHYDRATE,inhibitor,ChEMBL
MMP1,ILOMASTAT,inhibitor,GuideToPharmacology
MMP1,BATIMASTAT,inhibitor,GuideToPharmacology
MMP1,INTERFERON-BETA,Unknown,NCI
MMP1,DOXYCYCLINE CALCIUM,inhibitor,ChEMBL
MMP1,SIROLIMUS,Unknown,NCI
MMP1,IMMUNOSUPPRESSANT,Unknown,NCI
MMP1,MARIMASTAT,inhibitor,GuideToPharmacology
MMP1,CIPEMASTAT,inhibitor,GuideToPharmacology
MMP1,REBIMASTAT,inhibitor,ChEMBL
MMP1,THERAPEUTIC GLUCOCORTICOID,Unknown,NCI
MMP1,LEUPROLIDE ACETATE,Unknown,NCI
MMP1,APRATASTAT,inhibitor,GuideToPharmacology
MMP1,ALPHA-TOCOPHEROL,Unknown,NCI
MMP1,RIBAVIRIN,Unknown,NCI
MMP1,TYROSINE KINASE INHIBITOR,Unknown,NCI
MMP1,PENTOSAN POLYSULPHATE SODIUM,Unknown,NCI
MMP1,LAMIVUDINE,Unknown,NCI
GFAP,DEMECOLCINE,Unknown,NCI
GFAP,PROCARBAZINE HYDROCHLORIDE,Unknown,NCI
GFAP,GENISTEIN,Unknown,NCI
GFAP,HYDROGEN PEROXIDE,Unknown,NCI
GFAP,NIMODIPINE,Unknown,NCI
GFAP,TYROSINE KINASE INHIBITOR,Unknown,NCI
GFAP,PROGESTERONE,Unknown,NCI
GFAP,CAFFEINE,Unknown,NCI
GFAP,PROTEASE INHIBITOR,Unknown,NCI
GFAP,PIOGLITAZONE HYDROCHLORIDE,Unknown,NCI
GFAP,COLCHICINE,Unknown,NCI
GFAP,ISOPROTERENOL,Unknown,NCI
GFAP,SODIUM BUTYRATE,Unknown,NCI
GFAP,RECOMBINANT LUTEINIZING HORMONE,Unknown,NCI
GFAP,FREUND'S ADJUVANT,Unknown,NCI
GFAP,FADROZOLE HYDROCHLORIDE,Unknown,NCI
GFAP,SORBITOL,Unknown,NCI
GFAP,ADENOVIRUS VECTOR,Unknown,NCI
GFAP,DISULFIRAM,Unknown,NCI
GFAP,PRASTERONE,Unknown,NCI
GFAP,PENTOXIFYLLINE,Unknown,NCI
GFAP,AMPHETAMINE SULFATE,Unknown,NCI
GFAP,STAUROSPORINE,Unknown,NCI
GFAP,LITHIUM CATION,Unknown,NCI
GFAP,THERAPEUTIC MELATONIN,Unknown,NCI
GFAP,NIFEDIPINE,Unknown,NCI
GFAP,ANTISENSE OLIGONUCLEOTIDES,Unknown,NCI
GFAP,DRONABINOL,Unknown,NCI
GFAP,PROPRANOLOL HYDROCHLORIDE,Unknown,NCI
GFAP,RECOMBINANT HEREGULIN,Unknown,NCI
GFAP,ASPIRIN,Unknown,NCI
GFAP,PERMETHRIN,Unknown,NCI
GFAP,TCDD,Unknown,NCI
GFAP,METHYLNITROSOUREA,Unknown,NCI
GFAP,METHIMAZOLE,Unknown,NCI
GFAP,MASOPROCOL,Unknown,NCI
GFAP,ASCORBIC ACID,Unknown,NCI
GFAP,CAPSAICIN,Unknown,NCI
GFAP,IMMUNOTOXIN,Unknown,NCI
GFAP,INTERLEUKIN-11,Unknown,NCI
