Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
GABRA2,1.284509936189608,3.710818421052632,-1.0440930068777108,9.174331570652838e-39,38.03742556802977,Downregulated,8.385976275400835e-38
EDN3,2.651930720145852,6.944347368421052,-1.1212693098399276,3.538738481261311e-38,37.45115153127087,Downregulated,3.1247441299051493e-37
DSG1,2.8122636280765727,6.652458771929825,-1.0052754783074491,4.048708356382305e-38,37.39268350596204,Downregulated,3.5582184313582502e-37
PTPRQ,1.883341841385597,5.131430701754385,-1.0884818610967588,4.386761150845001e-38,37.35785601129688,Downregulated,3.848726770378114e-37
LOC93432,0.6853434822242479,3.134672807017544,-1.294730517241675,6.199655875012063e-38,37.20763241626482,Downregulated,5.402331711120443e-37
TEX19,1.780195897903373,0.2758210526315789,1.1237605514874365,8.480274066735476e-38,37.071590111924,Upregulated,7.312054875685818e-37
SLCO1A2,1.372277028258888,4.826628070175439,-1.2963887285537563,9.350959193537948e-38,37.029143838208284,Downregulated,8.03916215424347e-37
HAPLN1,4.503065268915224,1.4915008771929823,1.1432203578462403,1.434837420449137e-37,36.843197305481816,Upregulated,1.223814384786904e-36
C4BPA,1.9564996353691888,5.588679824561404,-1.156099321848795,2.045317388437906e-37,36.68923928944061,Downregulated,1.7294219927771916e-36
AADAC,1.1686833181403828,4.647609649122807,-1.380820977086176,2.156010590692272e-37,36.66634911015139,Downregulated,1.818524955912586e-36
SULT1C3,0.2412472196900638,1.9674675438596487,-1.257441764519187,2.469669019550094e-37,36.60736124617947,Downregulated,2.075411582945699e-36
CAMP,3.2602323609845034,0.7645964912280702,1.2715937984964352,3.4117522821094534e-37,36.46702250928015,Upregulated,2.8472875752726454e-36
RPE65,0.4667498632634457,2.1358315789473683,-1.0962252189205668,4.407032797091453e-37,36.35585371746311,Downregulated,3.6570890591870465e-36
LHX2,2.4712719234275298,0.5409640350877193,1.1716311928109322,7.405891338949358e-37,36.13042266431478,Upregulated,6.067156791246222e-36
