Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
KLHL33,0.6994515952597994,2.778445614035088,-1.152723586355234,1.4602678678074195e-55,54.83556747103746,Downregulated,5.699486563894739e-54
PAPPA2,1.4470659070191434,4.845345614035087,-1.2562353704316471,3.8532029817698385e-55,54.41417811231049,Downregulated,1.4075846479668112e-53
ACADL,2.3661576116681857,6.961584210526317,-1.241952800688117,8.487238528174108e-55,54.07123359209528,Downregulated,2.973430153300588e-53
C13orf36,0.6319731996353691,3.297125438596492,-1.3967545263660708,1.9230791698521363e-54,53.716002836238815,Downregulated,6.525754604473448e-53
AQPEP,2.5408027347310846,7.125264035087719,-1.1983382244738572,2.1111983304082174e-54,53.67547096623949,Downregulated,7.117061038305534e-53
LOC729467,0.1704237010027347,1.8968394736842105,-1.3074488515311578,6.934678762355163e-54,53.15897365210588,Downregulated,2.2106980588688125e-52
CIDEC,4.68686937101185,11.14201754385965,-1.0943015921633394,7.15474617661466e-54,53.14540576875969,Downregulated,2.2773168838123872e-52
TDO2,5.338578486782134,1.7922245614035088,1.1827443591966544,1.182754224499238e-53,52.92710549208648,Upregulated,3.679082458934751e-52
TUSC5,4.619837739288969,11.094237719298246,-1.1057194599454387,1.4574937907230787e-53,52.8363932867648,Downregulated,4.492844973505226e-52
HCN2,3.777325250683683,1.316669298245614,1.0441509860466318,1.54980671356771e-53,52.80972246212991,Upregulated,4.749038255496243e-52
C3orf50,0.220603646308113,1.4670219298245617,-1.0151757347922303,1.5536280555356323e-53,52.8086529448419,Downregulated,4.753499848009915e-52
CCL16,0.7764826800364631,2.7411052631578943,-1.074440936382329,1.735544917377324e-53,52.76056414193686,Downregulated,5.2786277264824386e-52
C14orf180,2.2083867821330903,7.600922807017545,-1.422643383061493,1.7582517351285679e-53,52.75491894533137,Downregulated,5.339779308016198e-52
C10orf90,2.1139190519598907,6.24039649122807,-1.2173372616175522,1.9134100854653821e-53,52.7181919412282,Downregulated,5.785317975641281e-52
PLD5,1.0948773017319964,3.8050701754385967,-1.1976917540776817,2.124701359374192e-53,52.67270210424444,Downregulated,6.405303804398262e-52
LOC415056,0.2753666362807657,1.6422885964912282,-1.050876003715265,2.4961041415302543e-53,52.60273729913848,Downregulated,7.502930896869125e-52
C12orf39,0.8322427529626253,4.916122807017543,-1.6910413421742705,2.9181553496039413e-53,52.5348915919217,Downregulated,8.695171165075314e-52
PLAC1,3.775527985414768,0.7097640350877191,1.4818630150609526,3.122220419542589e-53,52.50553644028323,Upregulated,9.262888036590949e-52
PROC,3.3950815861440287,1.0865596491228071,1.0747637824876275,3.9926975149816652e-53,52.39873359051951,Upregulated,1.1676649570167178e-51
LOC283867,3.317449772105743,0.5623552631578946,1.4664568495124364,4.0763587100543883e-53,52.38972760608302,Upregulated,1.1904359077868648e-51
ADCYAP1R1,1.4498882406563356,4.748142982456141,-1.230380010962811,4.501911458335002e-53,52.34660305076923,Downregulated,1.309125244187218e-51
HIST1H2AM,3.4824725615314494,0.9442157894736842,1.2051063987128443,5.816767544035048e-53,52.23531829160133,Upregulated,1.67252433724145e-51
CLEC4GP1,0.7116663628076574,3.1379447368421056,-1.2735128581067123,9.524644744661752e-53,52.02115121390015,Downregulated,2.660421178338854e-51
CST1,6.55361385597083,0.8943596491228071,1.995456778236334,1.6976239418819374e-52,51.7701585084699,Upregulated,4.6039920114710933e-51
GRM4,5.354055423883319,1.5049210526315788,1.3429125393090011,2.3559682307214758e-52,51.62783057013085,Upregulated,6.297920283426027e-51
KCTD4,0.4571297174111213,2.217998245614035,-1.1430342240153462,2.6393598758334397e-52,51.57850138983567,Downregulated,6.991749451723938e-51
SEL1L2,0.3436757520510483,2.3225456140350875,-1.3061039684663058,3.971402994329963e-52,51.40105604108179,Downregulated,1.0346815161623623e-50
MMP1,6.824973655423884,1.8790535087719296,1.442491292467476,6.074883439970835e-52,51.21646205054663,Upregulated,1.5550792646209632e-50
LOC201651,0.7106613491340018,2.467883333333333,-1.0195011790282715,9.540531659423166e-52,51.020427422956274,Downregulated,2.3886233532677757e-50
GFAP,2.652387784867821,6.41608245614035,-1.0218173360654683,1.3282825266037164e-51,50.87670954040859,Downregulated,3.258021537774707e-50
LOC284578,1.8796318140382864,5.253628070175439,-1.118809056256338,1.4751296393355998e-51,50.83116981075428,Downregulated,3.609584206860532e-50
MRAP,1.747664448495898,7.228287719298247,-1.5823864121303235,1.5434851421426798e-51,50.81149754675624,Downregulated,3.763641534559626e-50
GLRA4,0.4761226071103007,3.157564912280701,-1.4939262315787922,1.8610555143634323e-51,50.7302406718869,Downregulated,4.516249374690457e-50
CAV3,0.329838742023701,1.6648228070175437,-1.0027882932998988,2.072311578871985e-51,50.68354494641156,Downregulated,4.993492572094114e-50
MYH1,0.8428556061987237,4.235561403508772,-1.506401208565354,2.1936246098451964e-51,50.65883769026243,Downregulated,5.267264706447004e-50
FEZF2,0.2203287146763901,1.6124236842105264,-1.0981190802094778,2.7230690982321364e-51,50.56494133824131,Downregulated,6.4929858985720975e-50
MRGPRX2,0.3435901549680948,2.083406140350877,-1.198431801478738,2.8150149446062975e-51,50.55051929518464,Downregulated,6.704438145332632e-50
LOC90586,1.0981996353691883,3.277033333333333,-1.027458499840307,3.2119367719623334e-51,50.493233012539726,Downregulated,7.588154422138862e-50
BMP3,1.5144166818596172,4.927577192982456,-1.237218796775993,5.3328456687054275e-51,50.27304098451504,Downregulated,1.2260170389532188e-49
HHATL,0.5019643573381951,2.884450877192983,-1.3708600903260657,8.731773710082789e-51,50.058897527857056,Downregulated,1.9720936663146277e-49
LALBA,0.4804,3.000502631578948,-1.4341942338817584,9.074370058214346e-51,50.04218351392129,Downregulated,2.047217772474072e-49
RDM1,3.556991431175934,1.0545552631578947,1.1492555213157134,9.785739953153618e-51,50.009406329390615,Upregulated,2.2052825602441688e-49
CSN1S1,0.4855714676390155,3.610288596491228,-1.6338390520310686,1.4497629035596454e-50,49.83870301714101,Downregulated,3.2003905817289805e-49
PKHD1L1,2.2170337283500454,6.079267543859648,-1.1378690379245675,1.874125461533203e-50,49.72720133904711,Downregulated,4.088819949551186e-49
FAM196B,2.6986995442114856,6.9510035087719295,-1.1041188456820423,2.2346112686813188e-50,49.65079801550745,Downregulated,4.82403463154863e-49
CIDEA,3.235798359161349,8.967939473684211,-1.23466139525493,2.276080443285664e-50,49.64281239277886,Downregulated,4.903245697865129e-49
GABRA4,0.3451195989061075,2.210143859649123,-1.254903498712595,2.644089700601645e-50,49.57772381551941,Downregulated,5.672221687915546e-49
TMEM195,1.5956738377392892,4.370522807017544,-1.0489534265273166,2.9706767991232056e-50,49.52714459558532,Downregulated,6.343278146987156e-49
HIST1H2BO,2.3792874202370102,0.3649570175438597,1.3078635405529069,2.9998169115930865e-50,49.52290525085076,Upregulated,6.395248306854212e-49
FAM180B,1.5336175934366452,4.966477192982456,-1.2356805770335109,5.132783368177697e-50,49.289647064979526,Downregulated,1.0796725670972145e-48
GRIN2B,0.6926642661804923,2.774737719298246,-1.1570805566325362,5.897999851734765e-50,49.22929524270161,Downregulated,1.2330543478219421e-48
KCNA4,0.4050764813126709,2.4354464912280696,-1.2898489509733448,7.199361588301224e-50,49.14270601342577,Downregulated,1.4914520020971152e-48
CMTM5,1.0286443026435734,3.714522807017544,-1.2165958232967826,1.1299142959545054e-49,48.946954496521535,Downregulated,2.301303620629563e-48
GPR144,0.6401437556973565,4.186582456140352,-1.6609619607051591,1.5424997126197309e-49,48.81177490820731,Downregulated,3.113817020657136e-48
CST4,3.756482771194166,0.291248245614035,1.8811287635418168,1.8060690892735308e-49,48.74326564022609,Upregulated,3.62095687527203e-48
FRMD1,1.4795859617137648,5.08401754385965,-1.2949250719836427,2.4366580385659843e-49,48.61320541557705,Downregulated,4.8286283331814337e-48
KY,2.642688696444849,6.689030701754387,-1.0777980320647833,2.4923487622486508e-49,48.60339118555939,Downregulated,4.929472070227823e-48
CYP3A4,0.4960687329079307,2.2237491228070176,-1.10756301790894,3.360524125684426e-49,48.47359298238967,Downregulated,6.533291695104287e-48
STK32A,1.1172981768459431,3.3759868421052626,-1.0473839433246463,3.9761479125140056e-49,48.40053746824007,Downregulated,7.679239571393465e-48
LGALS12,3.7469162260711024,8.732537719298247,-1.0358254416706263,6.738051712210934e-49,48.17146566028252,Downregulated,1.283230070980431e-47
AIM1L,4.122953236098451,1.3141236842105264,1.1465097474838162,1.1521322605986362e-48,47.93849766262194,Upregulated,2.1522543503266609e-47
SLC6A2,1.470332999088423,4.574716666666666,-1.1741929531865123,1.759184692525966e-48,47.75468856262659,Downregulated,3.2420163139639213e-47
ALDH3A1,2.289327529626253,5.593466666666666,-1.0032445253718392,2.081123165355377e-48,47.681702216544096,Downregulated,3.794445700243862e-47
GRM8,3.223718140382862,1.0803043859649124,1.0217189270877618,2.2485445565407324e-48,47.64809850215072,Upregulated,4.085187588122233e-47
SCT,2.64934904284412,0.3210254385964913,1.4659808960225675,2.3801539155375892e-48,47.623394957856384,Upregulated,4.3166572337444083e-47
HIST2H3C,2.459925250683683,0.578292105263158,1.1323766303055112,2.4138241584804427e-48,47.61729437043716,Upregulated,4.3700008795064803e-47
PCK1,3.2460649954421146,8.86802807017544,-1.2166353644135204,2.78295890552077e-48,47.555493206615054,Downregulated,5.011767221959773e-47
TRDN,1.187113582497721,4.968237719298247,-1.4482768551043017,2.8213534143683397e-48,47.54954250891856,Downregulated,5.076457983959861e-47
FAM150B,1.7286379216043757,5.214721052631579,-1.1875086695042492,3.498878803212751e-48,47.45607110067443,Downregulated,6.257141274386566e-47
CLDND2,1.1695048313582497,3.368401754385965,-1.0097397455833763,3.829608338931617e-48,47.41684563985344,Downregulated,6.830743631474031e-47
EPYC,4.326418231540565,0.6346491228070178,1.7041847190539268,4.072969893828981e-48,47.390088800076605,Upregulated,7.227145369084614e-47
KREMEN2,4.792279762989973,1.8227517543859648,1.0370290280378145,4.75538597764421e-48,47.32281422716864,Upregulated,8.380092199230526e-47
RNF186,1.190531540565178,4.426226315789474,-1.308668232880431,4.953202790532518e-48,47.305113891075415,Downregulated,8.71373207280485e-47
GYS2,0.677308933454877,3.632483333333333,-1.4656373510514764,6.118728636725981e-48,47.21333880717037,Downregulated,1.0627537979017293e-46
SPHKAP,1.4399814949863263,5.645255263157895,-1.4454544122705553,1.0135235557912803e-47,46.99416615320552,Downregulated,1.7267749875846461e-46
HIST1H3H,4.304922424794896,1.432409649122807,1.1249454367293914,1.4667012574550301e-47,46.83365833568028,Upregulated,2.4721984249221483e-46
BMP5,1.9006380127620783,5.396660526315788,-1.1409486562242888,1.8340278771845047e-47,46.73659406734899,Downregulated,3.0586996197073826e-46
SLC24A2,3.330006381039197,0.4127192982456141,1.6158943146921494,1.974812318660717e-47,46.704474172363135,Upregulated,3.2828256600894347e-46
PENK,2.266158979033728,6.040388596491228,-1.1080600458369436,2.4553569788107557e-47,46.60988535785584,Downregulated,4.0488737971875355e-46
ART4,1.4380970829535096,3.9510991228070176,-1.021993258877009,3.048683317570865e-47,46.5158876856951,Downregulated,4.991185686581328e-46
CHRNA6,3.060227256153145,0.6168210526315789,1.3284004668825622,3.1056644259212427e-47,46.50784547257528,Upregulated,5.076376645235916e-46
MARCH4,2.6965834092980856,0.539819298245614,1.2634314096350765,4.200601267230391e-47,46.37668854094716,Upregulated,6.769100786204076e-46
TNNT3,2.4908772105742933,6.3700289473684215,-1.0780806739394078,6.748094843918502e-47,46.17081882206677,Downregulated,1.0722785382790004e-45
GRIA4,2.624243938012762,7.206439473684211,-1.1790763533968438,6.822647309879479e-47,46.16604707857091,Downregulated,1.0832865372917687e-45
CLDN19,2.361269553327256,6.673109649122806,-1.1908051286000394,7.281467054735197e-47,46.13778111112822,Downregulated,1.1543514952410315e-45
HTR2A,1.7957199635369188,4.621657017543859,-1.0077755774899853,1.0112214143365986e-46,45.9951537420386,Downregulated,1.5847614989565168e-45
MMP27,1.0559658158614402,3.548547368421053,-1.145589600077905,1.3063344381782211e-46,45.88394562393268,Downregulated,2.028672164583879e-45
EPB42,0.7237993618960802,4.126748245614035,-1.57245218975365,1.4623415917182706e-46,45.83495116768589,Downregulated,2.2655446661943495e-45
OR2B6,1.9551757520510484,0.1839850877192982,1.3195930234601945,1.4645871364043487e-46,45.83428478462846,Upregulated,2.26586088247033e-45
LOC55908,1.0054395624430266,4.480174561403509,-1.4503033598752928,1.529664273543073e-46,45.81540387646792,Downregulated,2.3594295669300743e-45
CDH20,1.178288514129444,3.871986842105264,-1.1613151853808563,3.2076340546633663e-46,45.49381518437345,Downregulated,4.827912547084964e-45
CLEC4G,1.035508933454877,3.9505482456140353,-1.2821987512698616,3.569072766076981e-46,45.44744459757991,Downregulated,5.3523056163301987e-45
